Arrangement,Runout
laid,5
laid,8
laid,8
laid,9
laid,9
laid,9
laid,9
laid,10
laid,10
laid,10
laid,11
laid,11
laid,11
laid,11
laid,11
laid,11
laid,11
laid,12
laid,12
laid,12
laid,12
laid,13
laid,13
laid,13
laid,13
laid,14
laid,14
laid,14
laid,15
laid,15
laid,15
laid,15
laid,16
laid,17
laid,17
laid,18
laid,19
laid,27
hung,7
hung,8
hung,8
hung,10
hung,10
hung,10
hung,10
hung,11
hung,11
hung,11
hung,12
hung,13
hung,13
hung,13
hung,15
hung,17
hung,17
hung,17
hung,17
hung,18
hung,19
hung,19
hung,20
hung,21
hung,21
hung,21
hung,22
hung,22
hung,22
hung,23
hung,23
hung,23
hung,23
hung,24
hung,27
hung,27
hung,28
hung,31
hung,36
